"Albania",2930187,"Europe"
"Algeria",41318142,"Africa"
"Andorra",76965,"Europe"
"Argentina",44271041,"South America"
"Armenia",2930450,"Asia"
"Australia",24450561,"Oceania"
"Austria",8735453,"Europe"
"Azerbaijan",9827589,"Asia"
"Bahrain",1492584,"Asia"
"Bangladesh",164669751,"Asia"
"Belarus",9468338,"Europe"
"Belgium",11429336,"Europe"
"Bolivia",11051600,"South America"
"Bosnia and Herzegovina",3507017,"Europe"
"Brazil",209288278,"South America"
"Brunei",428697,"Asia"
"Bulgaria",7084571,"Europe"
"Burkina Faso",19193382,"Africa"
"Cambodia",16005373,"Asia"
"Cameroon",24053727,"Africa"
"Canada",36624199,"North America"
"Chile",18054726,"South America"
"China",1409517397,"Asia"
"Colombia",49065615,"South America"
"Congo (Kinshasa)",81339988,"Africa"
"Costa Rica",4905769,"North America"
"Cote d'Ivoire",24294750,"Africa"
"Croatia",4189353,"Europe"
"Cuba",11484636,"North America"
"Cyprus",1179551,"Asia"
"Czechia",10618303,"Europe"
"Denmark",5733551,"Europe"
"Diamond Princess",3711,"Indeterminate"
"Dominican Republic",10766998,"North America"
"Ecuador",16624858,"South America"
"Egypt",97553151,"Africa"
"Estonia",1309632,"Europe"
"Finland",5523231,"Europe"
"France",64979548,"Europe"
"Georgia",3912061,"Asia"
"Germany",82114224,"Europe"
"Ghana",28833629,"Africa"
"Greece",11159773,"Europe"
"Honduras",9265067,"North America"
"Hungary",9721559,"Europe"
"Iceland",335025,"Europe"
"India",1339180127,"Asia"
"Indonesia",263991379,"Asia"
"Iran",81162788,"Asia"
"Iraq",38274618,"Asia"
"Ireland",4761657,"Europe"
"Israel",8321570,"Asia"
"Italy",59359900,"Europe"
"Japan",127484450,"Asia"
"Jordan",9702353,"Asia"
"Kazakhstan",18204499,"Asia"
"Kenya",49699862,"Africa"
"Kosovo",1859203,"Europe"
"Kuwait",4136528,"Asia"
"Kyrgyzstan",6045117,"Asia"
"Latvia",1949670,"Europe"
"Lebanon",6082357,"Asia"
"Liechtenstein",37922,"Europe"
"Lithuania",2890297,"Europe"
"Luxembourg",583455,"Europe"
"Madagascar",25570895,"Africa"
"Malaysia",31624264,"Asia"
"Malta",430835,"Europe"
"Mauritius",1265138,"Africa"
"Mexico",129163276,"North America"
"Moldova",4051212,"Europe"
"Monaco",38695,"Europe"
"Montenegro",628960,"Europe"
"Morocco",35739580,"Africa"
"Netherlands",17035938,"Europe"
"New Zealand",4705818,"Oceania"
"Nigeria",190886311,"Africa"
"North Macedonia",2083159,"Europe"
"Norway",5305383,"Europe"
"Oman",4636262,"Asia"
"Pakistan",197015955,"Asia"
"Panama",4098587,"North America"
"Paraguay",6811297,"South America"
"Peru",32165485,"South America"
"Philippines",104918090,"Asia"
"Poland",38170712,"Europe"
"Portugal",10329506,"Europe"
"Qatar",2639211,"Asia"
"Romania",19679306,"Europe"
"Russia",143989754,"Asia"
"Rwanda",12208407,"Africa"
"San Marino",33400,"Europe"
"Saudi Arabia",32938213,"Asia"
"Senegal",15850567,"Africa"
"Serbia",8790574,"Europe"
"Singapore",5708844,"Asia"
"Slovakia",5447662,"Europe"
"Slovenia",2079976,"Europe"
"South Africa",56717156,"Africa"
"South Korea",50982212,"Asia"
"Spain",46354321,"Europe"
"Sri Lanka",20876917,"Asia"
"Sweden",9910701,"Europe"
"Switzerland",8476005,"Europe"
"Taiwan",23626456,"Asia"
"Thailand",69037513,"Asia"
"Trinidad and Tobago",1369125,"North America"
"Tunisia",11532127,"Africa"
"Turkey",80745020,"Asia"
"UK",66181585,"Europe"
"Ukraine",44222947,"Europe"
"United Arab Emirates",9400145,"Asia"
"Uruguay",3456750,"South America"
"US",324459463,"North America"
"Uzbekistan",31910641,"Asia"
"Venezuela",31977065,"South America"
"Vietnam",95540800,"Asia"
"West Bank and Gaza",4494439,"Asia"
